player,Pos,newPos,birthDate,From,To
A.J. Hammons,C,Big,8/27/1992,2017,2017
Adreian Payne,C,Big,2/19/1991,2015,2018
Alan Williams,C,Big,1/28/1993,2016,2018
Alex Kirk,C,Big,11/14/1991,2015,2015
Alex Len,C,Big,6/16/1993,2014,2018
Andre Drummond,C,Big,8/10/1993,2013,2018
Anthony Davis,C,Big,3/11/1993,2013,2018
Bam Adebayo,C,Big,7/18/1997,2018,2018
Bernard James,C,Big,2/7/1985,2013,2015
Cameron Bairstow,C,Big,12/7/1990,2015,2016
Chinanu Onuaku,C,Big,11/1/1996,2017,2018
Cody Zeller,C,Big,10/5/1992,2014,2018
Dakari Johnson,C,Big,9/22/1995,2018,2018
Damian Jones,C,Big,6/30/1995,2017,2018
Daniel Ochefu,C,Big,12/15/1993,2017,2017
Dewayne Dedmon,C,Big,8/12/1989,2014,2018
Deyonta Davis,C,Big,12/2/1996,2017,2018
Diamond Stone,C,Big,2/10/1997,2017,2017
Domantas Sabonis,C,Big,5/3/1996,2017,2018
Dwight Powell,C,Big,7/20/1991,2015,2018
Eric Moreland,C,Big,12/24/1991,2015,2018
Fab Melo,C,Big,6/20/1990,2013,2013
Festus Ezeli,C,Big,10/21/1989,2013,2016
Frank Kaminsky,C,Big,4/4/1993,2016,2018
Gorgui Dieng,C,Big,1/18/1990,2014,2018
Henry Sims,C,Big,3/27/1990,2013,2016
Ike Anigbogu,C,Big,10/22/1998,2018,2018
Jack Cooley,C,Big,4/4/1991,2015,2018
Jahlil Okafor,C,Big,12/15/1995,2016,2018
Jakob Poeltl,C,Big,10/15/1995,2017,2018
Jarnell Stokes,C,Big,1/7/1994,2015,2017
Jarrett Allen,C,Big,4/21/1998,2018,2018
Jeff Withey,C,Big,3/7/1990,2014,2018
Joel Embiid,C,Big,3/16/1994,2017,2018
John Henson,C,Big,12/28/1990,2013,2018
Johnny O'Bryant,C,Big,6/1/1993,2015,2018
Josh Harrellson,C,Big,2/12/1989,2012,2014
Julius Randle,C,Big,11/29/1994,2015,2018
Justin Hamilton,C,Big,4/1/1990,2014,2017
Justin Patton,C,Big,6/14/1997,2018,2018
Karl-Anthony Towns,C,Big,11/15/1995,2016,2018
Keith Benson,C,Big,8/13/1988,2012,2012
Kelly Olynyk,C,Big,4/19/1991,2014,2018
Kevon Looney,C,Big,2/6/1996,2016,2018
Kyle O'Quinn,C,Big,3/26/1990,2013,2018
Larry Nance,C,Big,1/1/1993,2016,2018
Lauri Markkanen,C,Big,5/22/1997,2018,2018
Lavoy Allen,C,Big,2/4/1989,2012,2017
Marshall Plumlee,C,Big,7/14/1992,2017,2018
Mason Plumlee,C,Big,3/5/1990,2014,2018
Meyers Leonard,C,Big,2/27/1992,2013,2018
Mike Muscala,C,Big,7/1/1991,2014,2018
Mike Tobey,C,Big,10/10/1994,2017,2017
Miles Plumlee,C,Big,9/1/1988,2013,2018
Mitch McGary,C,Big,6/6/1992,2015,2016
Montrezl Harrell,C,Big,1/26/1994,2016,2018
Myles Turner,C,Big,3/24/1996,2016,2018
Nerlens Noel,C,Big,4/10/1994,2015,2018
Robert Sacre,C,Big,6/6/1989,2013,2016
Shawn Long,C,Big,1/29/1993,2017,2017
Shayne Whittington,C,Big,3/27/1991,2015,2016
Sim Bhullar,C,Big,12/2/1992,2015,2015
Stephen Zimmerman,C,Big,9/9/1996,2017,2017
Steven Adams,C,Big,7/20/1993,2014,2018
Tarik Black,C,Big,11/22/1991,2015,2018
Thomas Bryant,C,Big,7/31/1997,2018,2018
Tony Bradley,C,Big,1/8/1998,2018,2018
Tristan Thompson,C,Big,3/13/1991,2012,2018
Tyler Zeller,C,Big,1/17/1990,2013,2018
Willie Cauley-Stein,C,Big,8/18/1993,2016,2018
Zach Collins,C,Big,11/19/1997,2018,2018
Aaron Gordon,F,Big,9/16/1995,2015,2018
Abdel Nader,F,,9/25/1993,2018,2018
Adonis Thomas,F,,3/25/1993,2014,2014
Alec Peters,F,,4/13/1995,2018,2018
Alex Poythress,F,,9/6/1993,2017,2018
Allen Crabbe,F,,4/9/1992,2014,2018
Andrew Nicholson,F,,12/8/1989,2013,2017
Andrew Wiggins,F,Wing,2/23/1995,2015,2018
Anthony Bennett,F,Big,3/14/1993,2014,2017
Anthony Brown,F,,10/10/1992,2016,2018
Arnett Moultrie,F,,11/18/1990,2013,2014
Ben Bentil,F,,3/29/1995,2017,2017
Ben Moore,F,,5/13/1995,2018,2018
Ben Simmons,F,Guard,7/20/1996,2018,2018
Bobby Portis,F,Big,2/10/1995,2016,2018
Branden Dawson,F,,2/1/1993,2016,2016
Brandon Davies,F,,7/25/1991,2014,2015
Brandon Ingram,F,Wing,9/2/1997,2017,2018
Brice Johnson,F,Big,6/27/1994,2017,2018
Caleb Swanigan,F,,4/18/1997,2018,2018
Caris LeVert,F,Wing,8/25/1994,2017,2018
Chandler Parsons,F,Wing,10/25/1988,2012,2018
Cheick Diallo,F,Big,9/13/1996,2017,2018
Chris Boucher,F,,1/11/1993,2018,2018
Chris Johnson,F,Big,4/29/1990,2013,2016
Chris McCullough,F,,2/5/1995,2016,2018
Chris Singleton,F,Big,11/21/1989,2012,2014
Chris Wright,F,,9/30/1988,2012,2014
Christian Wood,F,Big,9/27/1995,2016,2017
Cleanthony Early,F,,4/17/1991,2015,2016
Cliff Alexander,F,,11/16/1995,2016,2016
Cory Jefferson,F,,12/26/1990,2015,2016
Coty Clarke,F,,7/4/1992,2016,2016
D.J. Stephens,F,,12/19/1990,2014,2014
D.J. Wilson,F,,2/19/1996,2018,2018
Darius Miller,F,,3/21/1990,2013,2018
David Wear,F,,9/21/1990,2015,2015
DeQuan Jones,F,,6/20/1990,2013,2013
Derrick Jones,F,,2/15/1997,2017,2018
Derrick Williams,F,Big,5/25/1991,2012,2018
Devin Robinson,F,,3/7/1995,2018,2018
Devyn Marble,F,,9/21/1992,2015,2016
Dillon Brooks,F,,1/22/1996,2018,2018
Dorian Finney-Smith,F,,5/4/1993,2017,2018
Doug McDermott,F,,1/3/1992,2015,2018
Draymond Green,F,Big,3/4/1990,2013,2018
Drew Gordon,F,,7/12/1990,2015,2015
Duje Dukan,F,,12/4/1991,2016,2016
Elias Harris,F,,7/6/1989,2014,2014
Erik McCree,F,,12/20/1993,2018,2018
Erik Murphy,F,,10/26/1990,2014,2014
Georges Niang,F,,6/17/1993,2017,2018
Glenn Robinson,F,Wing,1/8/1994,2015,2018
Grant Jerrett,F,,7/8/1993,2015,2015
Harrison Barnes,F,Wing,5/30/1992,2013,2018
Henry Ellenson,F,Big,1/13/1997,2017,2018
Hollis Thompson,F,Wing,4/3/1991,2014,2017
Isaiah Hicks,F,,7/24/1994,2018,2018
Ivan Rabb,F,Big,2/4/1997,2018,2018
J.J. O'Brien,F,,4/8/1992,2016,2016
Jabari Parker,F,Big,3/15/1995,2015,2018
Jacob Wiley,F,,9/4/1994,2018,2018
Jae Crowder,F,Wing,7/6/1990,2013,2018
JaJuan Johnson,F,,2/8/1989,2012,2012
JaKarr Sampson,F,,3/20/1993,2015,2018
Jake Layman,F,,3/7/1994,2017,2018
Jameel Warney,F,,1/31/1994,2018,2018
Jamel Artis,F,,1/12/1993,2018,2018
James Ennis,F,,7/1/1990,2015,2018
James Michael McAdoo,F,,1/4/1993,2015,2018
James Nunnally,F,,7/14/1990,2014,2014
James Southerland,F,,4/28/1990,2014,2014
James Young,F,,8/16/1995,2015,2018
JaMychal Green,F,Big,6/21/1990,2015,2018
Jared Sullinger,F,Big,3/4/1992,2013,2017
Jarell Eddie,F,,10/30/1991,2016,2018
Jarell Martin,F,,5/24/1994,2016,2018
Jarrod Uthoff,F,,5/19/1993,2017,2017
Jaylen Brown,F,Wing,10/24/1996,2017,2018
Jayson Tatum,F,Wing,3/3/1998,2018,2018
Jeffery Taylor,F,,5/23/1989,2013,2015
Jerami Grant,F,Big,3/12/1994,2015,2018
Jeremy Lamb,F,Wing,5/30/1992,2013,2018
Jerrelle Benimon,F,,8/1/1991,2015,2015
Jimmy Butler,F,Wing,9/14/1989,2012,2018
Joel Bolomboy,F,Big,1/28/1994,2017,2018
John Collins,F,Big,9/23/1997,2018,2018
Johnathan Motley,F,,5/4/1995,2018,2018
Jon Leuer,F,Big,5/14/1989,2012,2018
Jonathan Isaac,F,Big,10/3/1997,2018,2018
Jonathon Simmons,F,Wing,9/14/1989,2016,2018
Jordan Bell,F,Big,1/7/1995,2018,2018
Jordan Hamilton,F,Big,10/6/1990,2012,2016
Jordan Mickey,F,,7/9/1994,2016,2018
Josh Huestis,F,,12/19/1991,2016,2018
Josh Jackson,F,Wing,2/10/1997,2018,2018
Justin Harper,F,,8/30/1989,2012,2017
Justin Jackson,F,Wing,3/28/1995,2018,2018
Justise Winslow,F,Wing,3/26/1996,2016,2018
K.J. McDaniels,F,Wing,2/9/1993,2015,2017
Kawhi Leonard,F,Wing,6/29/1991,2012,2018
Kelly Oubre,F,Wing,12/9/1995,2016,2018
Kenneth Faried,F,Big,11/19/1989,2012,2018
Kent Bazemore,F,Wing,7/1/1989,2013,2018
Kevin Jones,F,,8/25/1989,2013,2013
Khris Middleton,F,Wing,8/12/1991,2013,2018
Klay Thompson,F,Wing,2/8/1990,2012,2018
Kris Joseph,F,Wing,12/17/1988,2013,2013
Kyle Anderson,F,Wing,9/20/1993,2015,2018
Kyle Collinsworth,F,Wing,10/3/1991,2018,2018
Kyle Kuzma,F,Wing,7/24/1995,2018,2018
Kyle Singler,F,Wing,5/4/1988,2013,2018
Kyle Wiltjer,F,,10/20/1992,2017,2017
Lamar Patterson,F,,8/12/1991,2016,2017
Malcolm Thomas,F,,11/8/1988,2012,2015
Marcus Morris,F,Big,9/2/1989,2012,2018
Markieff Morris,F,Big,9/2/1989,2012,2018
Marquese Chriss,F,Big,7/2/1997,2017,2018
MarShon Brooks,F,,1/26/1989,2012,2018
Matt Costello,F,Big,8/5/1993,2018,2018
Maurice Harkless,F,Big,5/11/1993,2013,2018
Maurice Ndour,F,,6/18/1992,2017,2017
Michael Kidd-Gilchrist,F,Wing,9/26/1993,2013,2018
Mike Scott,F,,7/16/1988,2013,2018
Myke Henry,F,,12/23/1992,2018,2018
Nigel Hayes,F,,12/16/1994,2018,2018
Noah Vonleh,F,,8/24/1995,2015,2018
OG Anunoby,F,Wing,7/17/1997,2018,2018
Okaro White,F,,8/13/1992,2017,2018
Omari Johnson,F,,11/26/1989,2018,2018
Otto Porter,F,Wing,6/3/1993,2014,2018
P.J. Hairston,F,,12/24/1992,2015,2016
Pascal Siakam,F,,2/4/1994,2017,2018
Patricio Garino,F,,5/17/1993,2017,2017
Perry Jones,F,,9/24/1991,2013,2015
Quincy Acy,F,Wing,10/6/1990,2013,2018
Rakeem Christmas,F,,12/1/1991,2016,2017
Reggie Bullock,F,Wing,3/16/1991,2014,2018
Robbie Hummel,F,Big,3/8/1989,2014,2015
Robert Covington,F,Wing,12/14/1990,2014,2018
Rodney Hood,F,Wing,10/20/1992,2015,2018
Rondae Hollis-Jefferson,F,Wing,1/3/1995,2016,2018
Royce O'Neale,F,Wing,6/5/1993,2018,2018
Royce White,F,Big,4/10/1991,2014,2014
Ryan Kelly,F,Big,4/9/1991,2014,2017
Sam Dekker,F,Wing,5/6/1994,2016,2018
Semi Ojeleye,F,,12/5/1994,2018,2018
Shabazz Muhammad,F,Wing,11/13/1992,2014,2018
Skal Labissiere,F,Big,3/18/1996,2017,2018
Solomon Hill,F,Wing,3/18/1991,2014,2018
Stanley Johnson,F,Wing,5/29/1996,2016,2018
T.J. Leaf,F,Big,4/30/1997,2018,2018
T.J. Warren,F,Wing,9/5/1993,2015,2018
Taurean Waller-Prince,F,Wing,3/22/1994,2017,2018
Terrence Jones,F,Wing,1/9/1992,2013,2017
Terrence Ross,F,Wing,2/5/1991,2013,2018
Thomas Robinson,F,Big,3/17/1991,2013,2017
Tobias Harris,F,Big,7/15/1992,2012,2018
Tony Snell,F,Wing,11/10/1991,2014,2018
Toure' Murry,F,Wing,11/8/1989,2014,2015
Travis Wear,F,,9/21/1990,2015,2018
Trey Lyles,F,Big,11/5/1995,2016,2018
Trey Thompkins,F,,5/20/1990,2012,2012
Troy Williams,F,,12/30/1994,2017,2018
Tyler Cavanaugh,F,,2/9/1994,2018,2018
Tyler Honeycutt,F,,7/15/1990,2012,2013
Tyler Lydon,F,,4/9/1996,2018,2018
Vince Hunter,F,,8/5/1994,2018,2018
Wayne Selden,F,,9/30/1994,2017,2018
Wesley Iwundu,F,,12/20/1994,2018,2018
Aaron Harrison,G,Guard,10/28/1994,2016,2018
Aaron Jackson,G,,5/6/1986,2018,2018
Alec Burks,G,Guard,7/20/1991,2012,2018
Alex Caruso,G,,2/28/1994,2018,2018
Andre Dawkins,G,,9/19/1991,2015,2015
Andre Ingram,G,,11/19/1985,2018,2018
Andrew Goudelock,G,,12/7/1988,2012,2016
Andrew Harrison,G,,10/28/1994,2017,2018
Andrew White,G,,6/16/1993,2018,2018
Antonio Blakeney,G,,10/4/1996,2018,2018
Antonius Cleveland,G,,2/2/1994,2018,2018
Archie Goodwin,G,,8/17/1994,2014,2017
Austin Rivers,G,Guard,8/1/1992,2013,2018
Ben Hansbrough,G,Guard,12/23/1987,2013,2013
Ben McLemore,G,Guard,2/11/1993,2014,2018
Bradley Beal,G,Guard,6/28/1993,2013,2018
Brandon Knight,G,Guard,12/2/1991,2012,2017
Brandon Paul,G,,4/30/1991,2018,2018
Briante Weber,G,,12/29/1992,2016,2018
Bryce Cotton,G,,8/11/1992,2015,2016
Bryce Dejean-Jones,G,,8/21/1992,2016,2016
Bryn Forbes,G,,7/23/1993,2017,2018
Buddy Hield,G,Wing,12/17/1993,2017,2018
C.J. McCollum,G,Guard,9/19/1991,2014,2018
C.J. Wilcox,G,,12/30/1990,2015,2017
Cameron Payne,G,,8/8/1994,2016,2018
Carrick Felix,G,,8/17/1990,2014,2014
Casper Ware,G,,1/17/1990,2014,2014
Charles Cooke,G,,7/1/1994,2018,2018
Charles Jenkins,G,,2/28/1989,2012,2013
Chasson Randle,G,,2/5/1993,2017,2017
Chris Babb,G,,2/14/1990,2014,2014
Chris Smith,G,,10/13/1987,2014,2014
Chris Wright,G,,11/4/1989,2013,2013
Cory Higgins,G,,6/14/1989,2012,2013
Cory Joseph,G,Guard,8/20/1991,2012,2018
Damion Lee,G,,10/21/1992,2018,2018
Damyean Dotson,G,,5/6/1994,2018,2018
D'Angelo Russell,G,Guard,2/23/1996,2016,2018
Danuel House,G,,6/7/1993,2017,2018
Darius Johnson-Odom,G,,9/28/1989,2013,2014
Darius Morris,G,,1/3/1991,2012,2015
Darrun Hilliard,G,,4/13/1993,2016,2018
David Nwaba,G,,1/14/1993,2017,2018
David Stockton,G,,6/24/1991,2015,2018
Davon Reed,G,,6/11/1995,2018,2018
De'Aaron Fox,G,Guard,12/20/1997,2018,2018
DeAndre Liggins,G,Wing,3/31/1988,2012,2018
Dejounte Murray,G,Guard,9/19/1996,2017,2018
Delon Wright,G,Guard,4/26/1992,2016,2018
Demetrius Jackson,G,,9/7/1994,2017,2018
Dennis Smith,G,Guard,11/25/1997,2018,2018
Denzel Valentine,G,Guard,11/16/1993,2017,2018
Derrick Walton,G,,4/3/1995,2018,2018
Derrick White,G,,7/2/1994,2018,2018
Devin Booker,G,Guard,10/30/1996,2016,2018
Diante Garrett,G,,11/3/1988,2013,2014
Dion Waiters,G,Guard,12/10/1991,2013,2018
Donovan Mitchell,G,Wing,9/7/1996,2018,2018
Doron Lamb,G,Wing,11/6/1991,2013,2014
Dwayne Bacon,G,,8/30/1995,2018,2018
Dwight Buycks,G,,3/6/1989,2014,2018
Edmond Sumner,G,,12/31/1995,2018,2018
Elfrid Payton,G,Guard,2/22/1994,2015,2018
Erick Green,G,,5/9/1991,2015,2016
E'Twaun Moore,G,Wing,2/28/1989,2012,2018
Frank Mason,G,,4/3/1994,2018,2018
Fred VanVleet,G,Guard,2/25/1994,2017,2018
Gary Harris,G,Guard,9/14/1994,2015,2018
Gary Payton,G,Guard,12/1/1992,2017,2018
Gian Clavell,G,,11/26/1993,2018,2018
Glen Rice,G,,1/1/1991,2014,2015
Ian Clark,G,Guard,3/7/1991,2014,2018
Iman Shumpert,G,Guard,6/26/1990,2012,2018
Isaiah Canaan,G,Guard,5/21/1991,2014,2018
Isaiah Taylor,G,,7/11/1994,2017,2018
Isaiah Thomas,G,Guard,2/7/1989,2012,2018
Isaiah Whitehead,G,,3/8/1995,2017,2018
Jabari Bird,G,,7/3/1994,2018,2018
Jabari Brown,G,,12/18/1992,2015,2015
Jalen Jones,G,,5/27/1993,2018,2018
Jamaal Franklin,G,,7/21/1991,2014,2015
Jamal Murray,G,,2/23/1997,2017,2018
Jared Cunningham,G,,5/22/1991,2013,2016
Jawun Evans,G,,7/26/1996,2018,2018
Jerian Grant,G,,10/9/1992,2016,2018
Jimmer Fredette,G,,2/25/1989,2012,2016
Joe Harris,G,,9/6/1991,2015,2018
Joe Young,G,,6/27/1992,2016,2018
John Jenkins,G,,3/6/1991,2013,2017
Jordan Adams,G,,7/8/1994,2015,2016
Jordan Clarkson,G,,6/7/1992,2015,2018
Jordan McRae,G,,3/28/1991,2016,2017
Jorge Gutierrez,G,,12/27/1988,2014,2016
Josh Hart,G,,3/6/1995,2018,2018
Josh Richardson,G,,9/15/1993,2016,2018
Josh Selby,G,,3/27/1991,2012,2013
Julyan Stone,G,,12/7/1988,2012,2018
Justin Anderson,G,,11/19/1993,2016,2018
Justin Holiday,G,,4/5/1989,2013,2018
Kadeem Allen,G,,1/15/1993,2018,2018
Kalin Lucas,G,,5/24/1989,2015,2015
Kay Felder,G,,3/29/1995,2017,2018
Keith Appling,G,,2/13/1992,2016,2016
Kemba Walker,G,,5/8/1990,2012,2018
Kendall Marshall,G,,8/19/1991,2013,2016
Kentavious Caldwell-Pope,G,Wing,2/18/1993,2014,2018
Kevin Murphy,G,,3/6/1990,2013,2013
Kim English,G,,9/24/1988,2013,2013
Kobi Simmons,G,,7/4/1997,2018,2018
Kris Dunn,G,Guard,3/18/1994,2017,2018
Kyrie Irving,G,Guard,3/23/1992,2012,2018
Langston Galloway,G,Guard,12/9/1991,2015,2018
Larry Drew,G,,3/5/1990,2015,2018
London Perrantes,G,,10/3/1994,2018,2018
Lonzo Ball,G,Guard,10/27/1997,2018,2018
Lorenzo Brown,G,Guard,8/26/1990,2014,2018
Luke Kennard,G,,6/24/1996,2018,2018
Maalik Wayns,G,Guard,5/2/1991,2013,2014
Malachi Richardson,G,,1/5/1996,2017,2018
Malcolm Brogdon,G,Guard,12/11/1992,2017,2018
Malcolm Delaney,G,,3/11/1989,2017,2018
Malcolm Lee,G,Wing,5/22/1990,2012,2015
Malik Beasley,G,,11/26/1996,2017,2018
Malik Monk,G,Guard,2/4/1998,2018,2018
Marcus Georges-Hunt,G,,3/28/1994,2017,2018
Marcus Paige,G,,9/11/1993,2018,2018
Marcus Smart,G,Guard,3/6/1994,2015,2018
Markel Brown,G,,1/29/1992,2015,2018
Markelle Fultz,G,Guard,5/29/1998,2018,2018
Marquis Teague,G,Guard,2/28/1993,2013,2018
Matt Williams,G,,10/14/1993,2018,2018
Matthew Dellavedova,G,Guard,9/8/1990,2014,2018
Michael Carter-Williams,G,Guard,10/10/1991,2014,2018
Michael Gbinije,G,,6/5/1992,2017,2017
Milton Doyle,G,,10/31/1993,2018,2018
Monte Morris,G,,6/27/1995,2018,2018
Mychel Thompson,G,,6/1/1988,2012,2012
Nate Wolters,G,Guard,5/15/1991,2014,2018
Naz Mitrou-Long,G,,8/3/1993,2018,2018
Nick Johnson,G,,12/22/1992,2015,2015
Nik Stauskas,G,,10/7/1993,2015,2018
Nolan Smith,G,Guard,7/25/1988,2012,2013
Norman Powell,G,,5/25/1993,2016,2018
Norris Cole,G,Guard,10/13/1988,2012,2017
Orlando Johnson,G,,3/11/1989,2013,2016
Pat Connaughton,G,,1/6/1993,2016,2018
Patrick McCaw,G,,10/25/1995,2017,2018
Peyton Siva,G,,10/24/1990,2014,2014
Phil Pressey,G,,2/17/1991,2014,2016
Pierre Jackson,G,,8/29/1991,2017,2017
PJ Dozier,G,,10/25/1996,2018,2018
Quinn Cook,G,Guard,3/23/1993,2017,2018
R.J. Hunter,G,,10/24/1993,2016,2018
Rashad Vaughn,G,,8/16/1996,2016,2018
Ray McCallum,G,,6/12/1991,2014,2016
Reggie Jackson,G,Guard,4/16/1990,2012,2018
Rodney McGruder,G,,7/29/1991,2017,2018
Rodney Purvis,G,,2/14/1994,2018,2018
Ron Baker,G,,3/30/1993,2017,2018
Russ Smith,G,,4/19/1991,2015,2016
Scott Machado,G,,6/8/1990,2013,2013
Scotty Hopson,G,,8/8/1989,2014,2018
Sean Kilpatrick,G,,1/6/1990,2015,2018
Semaj Christon,G,,11/1/1992,2017,2017
Seth Curry,G,Guard,8/23/1990,2014,2017
Shabazz Napier,G,,7/14/1991,2015,2018
Shane Larkin,G,,10/2/1992,2014,2018
Shaquille Harrison,G,,10/6/1993,2018,2018
Shelvin Mack,G,,4/22/1990,2012,2018
Spencer Dinwiddie,G,,4/6/1993,2015,2018
Sterling Brown,G,,2/10/1995,2018,2018
T.J. McConnell,G,,3/25/1992,2016,2018
Terry Rozier,G,,3/17/1994,2016,2018
Tim Frazier,G,,11/1/1990,2015,2018
Tim Hardaway,G,,3/16/1992,2014,2018
Tim Quarterman,G,,10/27/1994,2017,2018
Tony Wroten,G,,4/13/1993,2013,2016
Travis Leslie,G,,3/29/1990,2012,2012
Treveon Graham,G,,10/29/1993,2017,2018
Trey Burke,G,Guard,11/12/1992,2014,2018
Troy Daniels,G,,7/15/1991,2014,2018
Tyler Dorsey,G,,2/14/1996,2018,2018
Tyler Ennis,G,,8/24/1994,2015,2018
Tyler Johnson,G,Guard,5/7/1992,2015,2018
Tyler Ulis,G,,1/5/1996,2017,2018
Tyrone Wallace,G,,6/10/1994,2018,2018
Tyshawn Taylor,G,,4/12/1990,2013,2014
Tyus Jones,G,Guard,5/10/1996,2016,2018
Vander Blue,G,,7/17/1992,2014,2018
Victor Oladipo,G,Guard,5/4/1992,2014,2018
Wade Baldwin,G,Guard,3/29/1996,2017,2018
Will Barton,G,Wing,1/6/1991,2013,2018
Will Cherry,G,,2/8/1991,2015,2015
Xavier Munford,G,,6/1/1992,2016,2018
Xavier Rathan-Mayes,G,,4/29/1994,2018,2018
Xavier Silas,G,,1/22/1988,2012,2018
Yogi Ferrell,G,Guard,5/9/1993,2017,2018
Zach LaVine,G,Wing,3/10/1995,2015,2018
